ACADEMIC CLASS,TEACHER,EL
S1 HONOUR 1,NEAL MULLEN,EL - G3
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 HONOUR 2,BRAIN BRANDT,EL - G1
S1 EXCELLENCE 2,LEIF GUERRERO,EL - G2
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 RESPECT 2,SASHA CONNER,EL - G2
S1 WISDOM 1,SASHA CONNER,EL - G2
S1 WISDOM 1,BRAIN BRANDT,EL - G1
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 WISDOM 2,BRAIN BRANDT,EL - G1
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 EXCELLENCE 1,LEIF GUERRERO,EL - G2
S1 EXCELLENCE 2,NEAL MULLEN,EL - G3
S1 HONOUR 1,LEIF GUERRERO,EL - G2
S1 EXCELLENCE 2,LEIF GUERRERO,EL - G2
S1 HONOUR 1,LEIF GUERRERO,EL - G2
S1 EXCELLENCE 2,NEAL MULLEN,EL - G3
S1 HONOUR 2,LEIF GUERRERO,EL - G2
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 HONOUR 1,LEIF GUERRERO,EL - G2
S1 HONOUR 1,BRAIN BRANDT,EL - G1
S1 WISDOM 1,GWENDOLYN CABRERA,EL - G3
S1 HONOUR 1,LEIF GUERRERO,EL - G2
S1 RESPECT 1,SASHA CONNER,EL - G2
S1 HONOUR 2,BRAIN BRANDT,EL - G1
S1 HONOUR 2,LEIF GUERRERO,EL - G2
S1 WISDOM 1,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 1,SASHA CONNER,EL - G2
S1 WISDOM 2,GWENDOLYN CABRERA,EL - G3
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 2,SASHA CONNER,EL - G2
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 WISDOM 1,GWENDOLYN CABRERA,EL - G3
S1 EXCELLENCE 2,NEAL MULLEN,EL - G3
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 RESPECT 1,SASHA CONNER,EL - G2
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 RESPECT 2,SASHA CONNER,EL - G2
S1 EXCELLENCE 2,JEFFEREY OLSON,EL - G3
S1 RESPECT 1,SASHA CONNER,EL - G2
S1 WISDOM 1,NEAL MULLEN,EL - G3
S1 RESPECT 2,BRAIN BRANDT,EL - G1
S1 EXCELLENCE 2,JEFFEREY OLSON,EL - G3
S1 WISDOM 1,BRAIN BRANDT,EL - G1
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 HONOUR 1,NEAL MULLEN,EL - G3
S1 EXCELLENCE 1,LEIF GUERRERO,EL - G2
S1 EXCELLENCE 2,LEIF GUERRERO,EL - G2
S1 WISDOM 2,SASHA CONNER,EL - G2
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 RESPECT 1,SASHA CONNER,EL - G2
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 WISDOM 1,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 2,NEAL MULLEN,EL - G3
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 WISDOM 1,GWENDOLYN CABRERA,EL - G3
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 WISDOM 1,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 2,NEAL MULLEN,EL - G3
S1 EXCELLENCE 1,BRAIN BRANDT,EL - G1
S1 HONOUR 2,LEIF GUERRERO,EL - G2
S1 WISDOM 1,SASHA CONNER,EL - G2
S1 WISDOM 2,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 2,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 2,GWENDOLYN CABRERA,EL - G3
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 EXCELLENCE 2,BRAIN BRANDT,EL - G1
S1 RESPECT 2,SASHA CONNER,EL - G2
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 EXCELLENCE 1,BRAIN BRANDT,EL - G1
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 WISDOM 1 ,SASHA CONNER,EL - G2
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 EXCELLENCE 2,NEAL MULLEN,EL - G3
S1 HONOUR 1,NEAL MULLEN,EL - G3
S1 WISDOM 2,SASHA CONNER,EL - G2
S1 HONOUR 2,BRAIN BRANDT,EL - G1
S1 WISDOM 1,BRAIN BRANDT,EL - G1
S1 RESPECT 1,JEFFEREY OLSON,EL - G3
S1 RESPECT 2,SASHA CONNER,EL - G2
S1 EXCELLENCE 1,LEIF GUERRERO,EL - G2
S1 WISDOM 2,BRAIN BRANDT,EL - G1
S1 EXCELLENCE 2,LEIF GUERRERO,EL - G2
S1 RESPECT 2,SASHA CONNER,EL - G2
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 1,BRAIN BRANDT,EL - G1
S1 EXCELLENCE 1,LEIF GUERRERO,EL - G2
S1 RESPECT 2,BRAIN BRANDT,EL - G1
S1 EXCELLENCE 2,LEIF GUERRERO,EL - G2
S1 WISDOM 2,GWENDOLYN CABRERA,EL - G3
S1 HONOUR 1,BRAIN BRANDT,EL - G1
S1 RESPECT 1,JEFFEREY OLSON,EL - G3
S1 HONOUR 1,LEIF GUERRERO,EL - G2
S1 RESPECT 1,SASHA CONNER,EL - G2
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 EXCELLENCE 2,JEFFEREY OLSON,EL - G3
S1 HONOUR 2,LEIF GUERRERO,EL - G2
S1 HONOUR 1,NEAL MULLEN,EL - G3
S1 RESPECT 2,BRAIN BRANDT,EL - G1
S1 WISDOM 1,SASHA CONNER,EL - G2
S1 WISDOM 2,SASHA CONNER,EL - G2
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 WISDOM 1,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 2,GWENDOLYN CABRERA,EL - G3
S1 RESPECT 1,SASHA CONNER,EL - G2
S1 RESPECT 2,SASHA CONNER,EL - G2
S1 EXCELLENCE 1,LEIF GUERRERO,EL - G2
S1 HONOUR 1,LEIF GUERRERO,EL - G2
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 HONOUR 1,BRAIN BRANDT,EL - G1
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 2,BRAIN BRANDT,EL - G1
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 EXCELLENCE 2,NEAL MULLEN,EL - G3
S1 EXCELLENCE 2,LEIF GUERRERO,EL - G2
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 RESPECT 1,SASHA CONNER,EL - G2
S1 HONOUR 1,NEAL MULLEN,EL - G3
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 EXCELLENCE 1,BRAIN BRANDT,EL - G1
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 EXCELLENCE 2,BRAIN BRANDT,EL - G1
S1 WISDOM 1,BRAIN BRANDT,EL - G1
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 EXCELLENCE 2,LEIF GUERRERO,EL - G2
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 WISDOM 1,GWENDOLYN CABRERA,EL - G3
S1 HONOUR 1,LEIF GUERRERO,EL - G2
S1 HONOUR 2,LEIF GUERRERO,EL - G2
S1 HONOUR 2,LEIF GUERRERO,EL - G2
S1 EXCELLENCE 2,JEFFEREY OLSON,EL - G3
S1 EXCELLENCE 2,NEAL MULLEN,EL - G3
S1 WISDOM 2,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 1,SASHA CONNER,EL - G2
S1 HONOUR 1,NEAL MULLEN,EL - G3
S1 RESPECT 1,JEFFEREY OLSON,EL - G3
S1 HONOUR 2,NEAL MULLEN,EL - G3
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 EXCELLENCE 1,LEIF GUERRERO,EL - G2
S1 EXCELLENCE 2 ,NEAL MULLEN,EL - G3
S1 WISDOM 2,GWENDOLYN CABRERA,EL - G3
S1 HONOUR 1 ,BRAIN BRANDT,EL - G1
S1 WISDOM 1,GWENDOLYN CABRERA,EL - G3
S1 RESPECT 2,JEFFEREY OLSON,EL - G3
S1 EXCELLENCE 1,JEFFEREY OLSON,EL - G3
S1 RESPECT 1,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 2,GWENDOLYN CABRERA,EL - G3
S1 WISDOM 1,SASHA CONNER,EL - G2
S1 WISDOM 2,SASHA CONNER,EL - G2
