STUDENT,TERM,DAYS PRESENT,DAYS ABSENT,ATTENDANCE RATE
Aiden Tan,Term 1,48,2,96.0
Aiden Tan,Term 2,45,5,90.0
Aiden Tan,Term 3,49,1,98.0
Bella Lim,Term 1,50,0,100.0
Bella Lim,Term 2,50,0,100.0
Bella Lim,Term 3,48,2,96.0
Caleb Ng,Term 1,47,3,94.0
Caleb Ng,Term 2,46,4,92.0
Caleb Ng,Term 3,48,2,96.0
Diya Sharma,Term 1,50,0,100.0
Diya Sharma,Term 2,49,1,98.0
Diya Sharma,Term 3,50,0,100.0
Ethan Koh,Term 1,44,6,88.0
Ethan Koh,Term 2,46,4,92.0
Ethan Koh,Term 3,45,5,90.0
Fatimah Bte Yusof,Term 1,42,8,84.0
Fatimah Bte Yusof,Term 2,40,10,80.0
Fatimah Bte Yusof,Term 3,43,7,86.0
Grace Lee,Term 1,49,1,98.0
Grace Lee,Term 2,50,0,100.0
Grace Lee,Term 3,49,1,98.0
Hao Ming Chen,Term 1,47,3,94.0
Hao Ming Chen,Term 2,48,2,96.0
Hao Ming Chen,Term 3,47,3,94.0
Isla Wong,Term 1,50,0,100.0
Isla Wong,Term 2,49,1,98.0
Isla Wong,Term 3,50,0,100.0
Jun Wei Ong,Term 1,46,4,92.0
Jun Wei Ong,Term 2,47,3,94.0
Jun Wei Ong,Term 3,48,2,96.0
Kayla Teo,Term 1,49,1,98.0
Kayla Teo,Term 2,50,0,100.0
Kayla Teo,Term 3,49,1,98.0
Liam Goh,Term 1,43,7,86.0
Liam Goh,Term 2,44,6,88.0
Liam Goh,Term 3,42,8,84.0
Maya Patel,Term 1,38,12,76.0
Maya Patel,Term 2,40,10,80.0
Maya Patel,Term 3,39,11,78.0
Noah Sim,Term 1,48,2,96.0
Noah Sim,Term 2,47,3,94.0
Noah Sim,Term 3,49,1,98.0
Olivia Chua,Term 1,46,4,92.0
Olivia Chua,Term 2,47,3,94.0
Olivia Chua,Term 3,46,4,92.0
Pranav Kumar,Term 1,41,9,82.0
Pranav Kumar,Term 2,43,7,86.0
Pranav Kumar,Term 3,42,8,84.0
Qian Hui Zheng,Term 1,50,0,100.0
Qian Hui Zheng,Term 2,50,0,100.0
Qian Hui Zheng,Term 3,50,0,100.0
Ryan Tay,Term 1,47,3,94.0
Ryan Tay,Term 2,48,2,96.0
Ryan Tay,Term 3,47,3,94.0
Sarah Yeo,Term 1,49,1,98.0
Sarah Yeo,Term 2,50,0,100.0
Sarah Yeo,Term 3,50,0,100.0
Timothy Loh,Term 1,40,10,80.0
Timothy Loh,Term 2,38,12,76.0
Timothy Loh,Term 3,41,9,82.0
Uma Devi,Term 1,48,2,96.0
Uma Devi,Term 2,47,3,94.0
Uma Devi,Term 3,49,1,98.0
Victor Ang,Term 1,46,4,92.0
Victor Ang,Term 2,48,2,96.0
Victor Ang,Term 3,47,3,94.0
Wei Lin Tan,Term 1,45,5,90.0
Wei Lin Tan,Term 2,46,4,92.0
Wei Lin Tan,Term 3,47,3,94.0
Xavier Chong,Term 1,39,11,78.0
Xavier Chong,Term 2,41,9,82.0
Xavier Chong,Term 3,40,10,80.0
Yasmin Bte Rahman,Term 1,49,1,98.0
Yasmin Bte Rahman,Term 2,50,0,100.0
Yasmin Bte Rahman,Term 3,49,1,98.0
Zachary Foo,Term 1,47,3,94.0
Zachary Foo,Term 2,46,4,92.0
Zachary Foo,Term 3,48,2,96.0
Aisyah Bte Ismail,Term 1,36,14,72.0
Aisyah Bte Ismail,Term 2,38,12,76.0
Aisyah Bte Ismail,Term 3,37,13,74.0
Benjamin Seah,Term 1,48,2,96.0
Benjamin Seah,Term 2,49,1,98.0
Benjamin Seah,Term 3,50,0,100.0
Charlotte Wee,Term 1,46,4,92.0
Charlotte Wee,Term 2,47,3,94.0
Charlotte Wee,Term 3,46,4,92.0
Daniel Ho,Term 1,49,1,98.0
Daniel Ho,Term 2,48,2,96.0
Daniel Ho,Term 3,50,0,100.0
Elise Tan,Term 1,45,5,90.0
Elise Tan,Term 2,44,6,88.0
Elise Tan,Term 3,46,4,92.0
Farhan Bin Ali,Term 1,37,13,74.0
Farhan Bin Ali,Term 2,39,11,78.0
Farhan Bin Ali,Term 3,38,12,76.0
