STUDENT,YEAR,EL GRADE
Aiden Tan,2024,G2
Aiden Tan,2025,G3
Aiden Tan,2026,G3
Bella Lim,2024,G2
Bella Lim,2025,G3
Bella Lim,2026,G3
Caleb Ng,2024,G1
Caleb Ng,2025,G1
Caleb Ng,2026,G2
Diya Sharma,2024,G3
Diya Sharma,2025,G3
Diya Sharma,2026,G3
Ethan Koh,2024,G1
Ethan Koh,2025,G2
Ethan Koh,2026,G2
Fatimah Bte Yusof,2024,G1
Fatimah Bte Yusof,2025,G1
Fatimah Bte Yusof,2026,G1
Grace Lee,2024,G2
Grace Lee,2025,G3
Grace Lee,2026,G3
Hao Ming Chen,2024,G1
Hao Ming Chen,2025,G2
Hao Ming Chen,2026,G2
Isla Wong,2024,G3
Isla Wong,2025,G3
Isla Wong,2026,G3
Jun Wei Ong,2024,G1
Jun Wei Ong,2025,G2
Jun Wei Ong,2026,G2
Kayla Teo,2024,G2
Kayla Teo,2025,G3
Kayla Teo,2026,G3
Liam Goh,2024,G1
Liam Goh,2025,G1
Liam Goh,2026,G2
Maya Patel,2024,G1
Maya Patel,2025,G1
Maya Patel,2026,G1
Noah Sim,2024,G2
Noah Sim,2025,G3
Noah Sim,2026,G3
Olivia Chua,2024,G1
Olivia Chua,2025,G2
Olivia Chua,2026,G2
Pranav Kumar,2024,G1
Pranav Kumar,2025,G1
Pranav Kumar,2026,G1
Qian Hui Zheng,2024,G2
Qian Hui Zheng,2025,G3
Qian Hui Zheng,2026,G3
Ryan Tay,2024,G1
Ryan Tay,2025,G2
Ryan Tay,2026,G2
Sarah Yeo,2024,G2
Sarah Yeo,2025,G3
Sarah Yeo,2026,G3
Timothy Loh,2024,G1
Timothy Loh,2025,G1
Timothy Loh,2026,G1
Uma Devi,2024,G1
Uma Devi,2025,G2
Uma Devi,2026,G2
Victor Ang,2024,G2
Victor Ang,2025,G3
Victor Ang,2026,G3
Wei Lin Tan,2024,G1
Wei Lin Tan,2025,G2
Wei Lin Tan,2026,G2
Xavier Chong,2024,G1
Xavier Chong,2025,G1
Xavier Chong,2026,G1
Yasmin Bte Rahman,2024,G2
Yasmin Bte Rahman,2025,G3
Yasmin Bte Rahman,2026,G3
Zachary Foo,2024,G1
Zachary Foo,2025,G1
Zachary Foo,2026,G2
Aisyah Bte Ismail,2024,G1
Aisyah Bte Ismail,2025,G1
Aisyah Bte Ismail,2026,G1
Benjamin Seah,2024,G2
Benjamin Seah,2025,G3
Benjamin Seah,2026,G3
Charlotte Wee,2024,G1
Charlotte Wee,2025,G2
Charlotte Wee,2026,G2
Daniel Ho,2024,G2
Daniel Ho,2025,G3
Daniel Ho,2026,G3
Elise Tan,2024,G1
Elise Tan,2025,G2
Elise Tan,2026,G2
Farhan Bin Ali,2024,G1
Farhan Bin Ali,2025,G1
Farhan Bin Ali,2026,G1
