NAME,ACADEMIC CLASS,EL CLASS
Aiden Tan,S1 HONOUR 1,EL - G3
Bella Lim,S1 HONOUR 1,EL - G3
Caleb Ng,S1 HONOUR 1,EL - G2
Diya Sharma,S1 HONOUR 1,EL - G3
Ethan Koh,S1 HONOUR 2,EL - G2
Fatimah Bte Yusof,S1 HONOUR 2,EL - G1
Grace Lee,S1 HONOUR 2,EL - G3
Hao Ming Chen,S1 HONOUR 2,EL - G2
Isla Wong,S1 RESPECT 1,EL - G3
Jun Wei Ong,S1 RESPECT 1,EL - G2
Kayla Teo,S1 RESPECT 1,EL - G3
Liam Goh,S1 RESPECT 1,EL - G2
Maya Patel,S1 RESPECT 2,EL - G1
Noah Sim,S1 RESPECT 2,EL - G3
Olivia Chua,S1 RESPECT 2,EL - G2
Pranav Kumar,S1 RESPECT 2,EL - G1
Qian Hui Zheng,S1 EXCELLENCE 1,EL - G3
Ryan Tay,S1 EXCELLENCE 1,EL - G2
Sarah Yeo,S1 EXCELLENCE 1,EL - G3
Timothy Loh,S1 EXCELLENCE 1,EL - G1
Uma Devi,S1 EXCELLENCE 2,EL - G2
Victor Ang,S1 EXCELLENCE 2,EL - G3
Wei Lin Tan,S1 EXCELLENCE 2,EL - G2
Xavier Chong,S1 EXCELLENCE 2,EL - G1
Yasmin Bte Rahman,S1 WISDOM 1,EL - G3
Zachary Foo,S1 WISDOM 1,EL - G2
Aisyah Bte Ismail,S1 WISDOM 1,EL - G1
Benjamin Seah,S1 WISDOM 1,EL - G3
Charlotte Wee,S1 WISDOM 2,EL - G2
Daniel Ho,S1 WISDOM 2,EL - G3
Elise Tan,S1 WISDOM 2,EL - G2
Farhan Bin Ali,S1 WISDOM 2,EL - G1
